instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms
docs\inst_test\instancias\n_1000_1,100,10,15,5,0.3000,12,9990356462,9990352483,21
docs\inst_test\instancias\n_1000_1,100,10,15,5,0.3000,4,9994827139,9994822678,28
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.1000,4,9995296915,9995292252,25
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.1000,202,9991296961,9991292372,24
docs\inst_test\instancias\n_1000_1,100,10,15,5,0.2000,12,9999827461,9999822909,49
docs\inst_test\instancias\n_1000_1,100,10,15,5,0.3000,202,9999887011,9999883425,36
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.1000,12,9993297100,9993292455,31
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.2000,12,9999827461,9999822909,26
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.2000,4,9992827022,9992822537,34
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.2000,202,9994827117,9994822716,25
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.3000,4,9994827139,9994822678,29
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.3000,202,9999886847,9999883349,24
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.1000,4,9994297160,9994292499,25
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.3000,12,9989826789,9989822344,32
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.1000,12,9993297100,9993292455,27
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.2000,4,9989296870,9989292248,25
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.2000,12,9999827461,9999822909,27
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.2000,202,9994827117,9994822716,23
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.3000,4,9994827139,9994822678,24
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.3000,12,9989826789,9989822344,24
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.3000,202,9999357275,9999353107,23
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.1000,202,9991296961,9991292372,38
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.1000,4,9995297223,9995292560,27
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.1000,12,9996297291,9996292580,24
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.2000,4,9992827053,9992822527,23
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.2000,12,9999827461,9999822909,25
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.2000,202,9994827117,9994822716,23
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.1000,202,9992297061,9992292379,33
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.3000,4,9994827139,9994822678,25
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.3000,202,9999887011,9999883425,23
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.3000,12,9990356462,9990352483,34
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.1000,4,9995296915,9995292252,25
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.1000,12,9993297100,9993292455,27
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.1000,202,9991296961,9991292372,25
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.2000,202,9994827117,9994822716,24
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.3000,4,9994827139,9994822678,23
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.2000,4,9992827022,9992822537,29
